1990	1.864
1991	1.789
1992	1.736
1993	1.686
1994	1.644
1995	1.598
1996	1.553
1997	1.518
1998	1.494
1999	1.462
2000	1.415
2001	1.376
2002	1.354
2003	1.324
2004	1.290
2005	1.247
2006	1.208
2007	1.175
2008	1.131
2009	1.135
2010	1.117
2011	1.083
2012	1.610
2013	1.460
2014	1.290
2015	1.280
2016	1.015
2017	1.000
