,19941231,19951231,19961231,19971231,19981231,19991231,20001231,20011231,20021231,20031231,20041231,20051231,20061231,20071231,20081231,20091231,20101231,20111231,20121231,20131231,20141231,20151231,20161231
DTRM,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,117.1559,92.9977,50.2809,51.2793,46.6469,12.9214,14.014,7.9159,18.4419,24.7682,40.4765,28.7438,23.1036
DTUL,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
DTUS,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
DTYL,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
DTYS,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
DUSA,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
DVAX,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,197.016,128.3292,364.5837,203.1991,33.4774,77.0762,369.9552,513.3583,520.9572,515.0802,443.536,928.8554,404.1377
DVCR,#N/A N/A,58.829,38.541,45.7045,29.6945,0.7689,5.8215,1.593,1.2634,1.3733,28.3387,30.1707,94.2666,63.9601,16.9279,44.0209,30.1122,32.351,31.6609,28.188,58.1742,51.1902,63.6
DWAC,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
DWAQ,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
DWAS,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
DWAT,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
DWCH,8.2706,35.975,52.325,18.8244,12.5785,18.6773,3.8847,3.3266,7.7361,14.389,28.1077,22.1977,14.344,34.1182,7.0972,15.7042,20.5378,34.5691,88.3341,290.8425,101.489,69.6842,65.966
DWFI,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
DWIN,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
DWLD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
DWLV,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
DWSN,#N/A N/A,6.9367,9.4725,6.8797,2.172,2.253,2.4746,1.3139,0.3447,5.4103,17.8462,100.9773,130.5966,159.7774,35.317,71.4955,72.9769,137.8778,169.1434,160.197,47.8275,74.6698,174.1175
DWTR,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
DXCM,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,379.2151,277.694,252.7499,82.3142,371.5832,847.3647,580.5716,944.505,2567.225,4255.365,6691.23,5050.62
DXGE,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
DXJS,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
DXKW,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
DXLG,118.095,110.362,93.792,68.635,15.879,20.4725,35.9936,44.6354,133.8816,320.4607,171.9463,190.9819,503.9971,331.0804,78.7066,118.3846,210.6103,198.2794,190.4916,337.1592,265.5754,296.5576,218.4588
DXPE,#N/A N/A,#N/A N/A,#N/A N/A,47.8055,28.053,9.9255,2.545,4.4792,4.4385,16.6585,19.3858,82.4809,179.5497,590.2286,187.9329,169.0631,310.4448,454.6067,685.8454,1649.8499,726.3769,328.1161,418.5783
DXPS,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
DXTR,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,53.2298,159.4516,55.3663,27.7793,112.5206,58.4262,40.6516,50.1955,62.2687,13.7367,8.5771
DXYN,78.3156,43.3533,86.7065,121.8655,84.8899,80.8113,27.3185,50.0795,45.7812,93.8445,194.2549,174.5479,163.5318,103.2384,19.4282,31.269,45.6173,37.9412,42.2681,150.416,141.4714,89.1588,82.0752
DYNT,8.4405,9.955,8.1617,8.428,22.2297,7.1078,12.0794,9.7394,6.2085,15.8743,14.7856,12.9917,9.9609,14.0325,4.2337,11.7445,8.4653,8.699,7.233,10.4535,9.804,7.911,6.7733
DYSL,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1.5548,0.3241,0.6043,1.7153,3.3023,7.4284,16.0898,16.4744,31.2361,68.4005,26.6988,18.3646,17.9384,23.5656,30.466,21.6449
DZSI,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,700.5448,4.6579,378.5473,243.82,313.2491,195.5529,175.5281,12.5067,62.0008,81.5819,36.272,14.7179,172.2097,57.5356,33.8088,80.5618
EA,926.3485,1371.2751,1612.0146,2237.2522,3427.217,5370.708,5935.6854,8627.0617,7325.0488,14238.8692,18933.2566,15849.93,15613.757,18515.97,5148.84,5804.25,5470.92,6839.2,4370.52,7088.46,14574.65,21303.2,24179.32
EACQ,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
EACQU,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,61.6924,64.6106
EACQW,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
EAGL,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,625,643.1187
EAGLU,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,625,643.1187
EAGLW,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
EARS,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,112.4504,167.6957,57.7263
EBAY,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,39042.694,32810.0163,8885.25,18548.6273,21110.8061,41950.8227,77866.8274,60688.7893,#N/A N/A,44813.7686,17897.069,30537.2105,36115.2693,39019.1507,65991.0109,70995.31,68690.88,32536.32,32273.03
EBAYL,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security
EBIO,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,213.0471,59.0536,67.6345
EBIX,6.2336,11.0713,38.4013,36.351,62.861,120.4222,5.3353,19.7921,5.9566,28.4064,43.665,54.1663,79.6097,248.6516,237.7264,560.4724,852.5291,803.9511,597.9112,532.3779,614.8947,1095.7142,1830.9224
EBMT,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,12.7912,18.073,27.718,42.552,39.6851,37.1693,35.3131,35.7425,27.9581,35.0827,44.2203,38.2079,40.3514,42.8986,41.1204,46.7142,80.4207
EBSB,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,212.75,200.1,265.0495,275.7601,371.4396,499.4102,613.8245,773.7408,1012.9664
EBTC,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,118.0909,124.3288,100.0958,90.6852,99.5412,126.3503,135.4603,159.8554,211.5425,257.7506,237.1324,431.0289
ECHO,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,276.2443,262.0947,357.8171,407.8262,491.9021,677.6459,606.9191,704.6935
ECOL,56.6877,25.4345,8.5106,10.5788,16.9463,23.1255,29.1762,24.0913,40.5645,139.6876,208.26,256.0231,336.4007,428.4161,370.2899,311.9342,316.177,342.3031,431.1116,798.3979,867.8357,792.1692,1070.487
ECPG,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,27.8651,2.3631,1.8619,8.1521,332.2453,527.1075,392.9948,287.0406,222.5626,165.9816,406.4466,563.058,521.2952,710.1084,1279.4688,1145.2536,735.375,733.2394
ECYT,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,134.5497,322.5528,383.6151,262.8257,168.5593,129.8873
EDAP,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,37.0951,39.2283,30.2843,9.8896,20.1684,54.8911,17.402,28.3999,46.6165,47.8814,96.4787,74.1985
EDBI,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
EDGE,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,360.1356,361.4815
EDGW,#N/A N/A,#N/A N/A,#N/A N/A,854.9503,#N/A N/A,#N/A N/A,186.5045,45.7963,54.2092,55.9207,51.6901,64.9008,70.3994,97.0681,31.4996,36.032,29.0037,31.2184,41.4086,77.2325,85.8572,95.0146,104.89
EDIT,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,480.0044
EDUC,29.6932,51.9382,41.576,30.0495,11.3682,17.5931,14.8992,20.1863,29.027,45.2694,38.8871,31.8708,25.1573,20.597,14.3352,21.1368,23.8415,20.4578,15.2295,12.0704,16.9363,56.1375,36.9447
EEFT,#N/A N/A,#N/A N/A,#N/A N/A,117.2808,40.8849,117.5364,87.9616,398.8878,179.3613,532.6195,593.6861,994.5848,1111.5944,1468.5871,584.9215,1116.3811,889.08,932.1088,1164.0134,2422.4657,2832.6625,3841.0934,3788.3353
EEI,41.4,33.0482,33.4463,43.6637,36.63,23.7952,26.1836,47.6586,36.5991,40.9336,36.987,31.281,41.7425,52.2585,40.871,60.6595,56.1172,69.972,52.2002,49.0915,42.4978,45.5298,39.7204
EEMA,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
EFAS,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
EFII,329.6975,1092.4813,2118.1021,873.7767,2139.96,3238.8412,734.3111,1202.0181,887.3465,1415.3839,937.1455,1496.7859,1531.3801,1236.4899,490.9729,577.0094,664.3417,649.8143,876.3505,1834.6401,2010.226,2212.2977,2043.0427
EFOI,18.6185,13.1014,14.9319,19.7381,15.932,23.023,31.4532,13.4199,16.4745,42.9556,73.8055,96.3585,74.1775,84.2668,17.0603,13.6239,22.7639,4.9826,6.973,24.1683,46.4602,160.1734,49.7698
EFSC,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,106.6165,118.725,134.652,180.8996,237.2068,375.9582,297.2049,195.087,99.3265,155.7431,263.0532,235.4188,394.5901,391.4037,567.4819,861.935
EGAN,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1083.9602,112.0453,51.0793,7.6928,7.6777,15.1356,11.0171,20.0637,6.9,5.5533,23.0657,29.6051,168.2792,111.5055,260.0448,138.1713,115.2287,56.9205
EGBN,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,17.325,17.2693,29.3842,39.5867,94.6989,111.1455,166.3302,164.9183,117.6279,73.1075,204.5233,284.2766,290.1144,458.4091,792.884,1070.5513,1689.1246,2073.7537
EGHT,#N/A N/A,#N/A N/A,#N/A N/A,164.4824,86.0399,96.99,48.1373,25.0451,6.2594,168.2695,190.7342,112.9575,71.8974,55.2399,29.8357,94.6955,148.5996,220.43,530.2339,891.9297,823.1872,1012.8285,1300.3396
EGLE,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,527.748,622.506,1240.6059,320.7535,307.527,311.551,59.357,24.9571,76.3688,550.1916,132.5845,340.1153
EGLT,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,98.344,276.4428,191.6892
EGOV,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1701.28,85.8097,178.9068,81.9097,471.4895,298.2756,370.0866,306.0223,519.6837,285.344,573.7961,618.5838,854.2105,1056.0232,1616.3656,1174.8047,1291.7304,1576.9624
EGRX,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,217.5685,1386.4784,1260.7808
EGT,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,39.0313,63.1598,59.4599,494.1342,14.9444,28.7535,41.8064,26.7537,57.5514,9.3091,30.6787,27.6267,27.3374
EHR,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
EHTH,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,437.371,792.6945,332.5436,384.7369,306.1454,292.2776,561.9616,873.1176,444.3314,181.0868,195.3373
EIGI,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1769.1896,2412.7512,1442.0876,1253.5829
EIGR,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,458.7741,35.2126,111.8957
EKSO,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,138.205,104.4378,100.5471
ELEC,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
ELECU,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,249.75,252
ELECW,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
ELGX,#N/A N/A,#N/A N/A,117.052,49.742,27.2318,55.3494,65.245,21.2576,20.4739,110.9199,221.6797,253.0851,151.004,120.2824,52.644,256.909,403.2672,666.7904,891.0504,1113.8299,1026.8689,673.5404,473.4673
ELON,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,126.1036,650.2575,611.1781,548.7425,445.3285,450.1674,347.6149,311.6379,312.8603,840.7981,329.7249,474.0264,427.9013,207.0795,105.4748,93.2065,74.7722,24.9088,20.829
ELOS,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,692.3539,842.0465,746.6878,366.0039,229.1229,288.4332,353.3371,391.0895,308.7277,450.5562,342.8611,271.967,291.5716
ELSE,6.162,13.58,6.5543,7.1845,6.4188,3.972,9.4763,12.5152,9.3041,13.1762,13.0987,13.5938,17.3973,19.8226,10.7744,12.5617,15.1175,13.3058,13.8852,13.6128,13.2799,12.156,11.9034
ELTK,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,22.0461,16.9203,4.7593,7.4694,10.0474,8.5865,7.072,24.3426,11.8417,12.8813,10.447
EMCB,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
EMCF,#N/A N/A,#N/A N/A,#N/A N/A,18.025,29.665,20.8271,19.995,22.8609,28.9927,32.651,33.2807,33.7244,37.0842,32.6468,33.638,19.8249,23.8286,27.9429,36.6837,44.4644,44.5165,51.4754,62.9565
