,19941231,19951231,19961231,19971231,19981231,19991231,20001231,20011231,20021231,20031231,20041231,20051231,20061231,20071231,20081231,20091231,20101231,20111231,20121231,20131231,20141231,20151231,20161231
ABTL,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,276.9441,50.84,53.4215,87.3488,344.2396,253.1122,208.139,149.3304,120.4187,20.3489,45.1687,39.2926,32.2852,35.2445,134.8043,96.7961,239.7366,194.5905
ABTX,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,303.0271,468.4317
ABUS,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,22.2319,14.7127,47.5631,48.5919,18.223,70.9546,151.8197,339.9383,242.8396,188.6547
ABY,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,2185.6,1933.1859,1939.204
ACAD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,114.5687,231.6511,263.1768,409.9818,33.4601,50.5984,47.2207,57.1306,341.0041,2276.6544,3176.5028,3634.1147,3500.2292
ACBI,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
ACCP,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
ACET,70.154,83.024,68.6701,91.717,88.3958,#N/A N/A,#N/A N/A,#N/A N/A,59.8747,269.8046,306.774,159.3808,209.857,194.64,247.5473,130.2126,239.193,184.9476,274.3349,709.4587,631.5785,797.286,661.7144
ACFC,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,194.5499,193.5912,243.4751,159.2192,51.5544,20.0105,23.0554,7.4938,5.2844,67.1542,61.571,90.8827,105.4616
ACGL,#N/A N/A,395.9959,329.9756,379.5405,371.6422,215.7346,190.635,347.9855,864.1883,1124.052,1350.7461,4015.0841,5021.4262,4735.8541,4241.8894,3918.1981,4098.2058,5002.1612,5891.7518,7979.0538,7527.4449,8553.2879,11696.6386
ACGLP,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security
ACHC,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,320.1958,1164.8615,2369.8595,3624.3579,4418.7793,2869.3794
ACHN,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,250.2688,78.0286,17.9513,83.0557,242.2604,531.7846,637.8043,321.2526,1269.0265,1474.3456,564.6619
ACIA,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,3689.4714
ACIU,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
ACIW,#N/A N/A,426.1275,870.352,1069.13,1563,914.676,403.7278,446.985,253.8624,869.7716,766.9813,1098.8524,1254.8244,820.5166,571.1044,583.7274,894.0392,963.5381,1723.4732,2525.5743,2332.4145,2547.3227,2129.6629
ACLS,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,861.3188,1255.1638,551.0225,1016.6684,812.9187,479.4661,590.5673,471.247,52.6728,146.7697,366.0196,141.8964,149.2787,268.4049,288.5862,300.3908,429.4869
ACNB,81.7335,103.506,84.448,122.7889,138.816,105.6379,89.7765,100.8378,115.515,145.1439,140.795,108.1784,113.8541,91.0623,73.8537,76.772,93.0157,82.2305,96.5197,108.2031,130.8404,128.6461,161.103
ACOR,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,374.7388,627.4999,771.4499,955.9639,1057.1256,937.5913,989.5397,1194.1736,1711.7927,1839.5133,858.7848
ACRS,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,543.0431,548.6685
ACRX,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,37.5701,157.8544,486.9021,294.1842,174.304,176.3484
ACSF,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,121.1012,98.301,110.3011
